date,England,Northern Ireland,Scotland,Wales
01/03/2021,10765,337,824,971
02/03/2021,10121,313,784,924
03/03/2021,9594,290,750,891
04/03/2021,9092,280,718,846
05/03/2021,8594,261,666,793
06/03/2021,8021,260,639,793
07/03/2021,7812,264,628,758
08/03/2021,7847,265,654,712
09/03/2021,7451,249,614,700
10/03/2021,6975,224,582,658
11/03/2021,6687,221,525,634
12/03/2021,6391,216,512,611
13/03/2021,6072,221,479,614
14/03/2021,6039,219,461,599
15/03/2021,5976,211,447,576
16/03/2021,5664,204,440,540
17/03/2021,5397,210,422,557
18/03/2021,5083,204,405,459
19/03/2021,4841,197,397,445
20/03/2021,4589,195,367,415
21/03/2021,4492,196,344,415
22/03/2021,4501,182,353,394
23/03/2021,4245,181,341,382
24/03/2021,4005,178,321,373
25/03/2021,3763,163,310,344
26/03/2021,3712,153,296,322
27/03/2021,3676,154,283,320
28/03/2021,3438,157,264,322
29/03/2021,3466,148,259,320
30/03/2021,3283,132,250,306
31/03/2021,3084,126,237,290
01/04/2021,2928,128,215,281
02/04/2021,2784,121,207,257
03/04/2021,2677,116,201,243
04/04/2021,2672,113,193,242
05/04/2021,2680,107,202,257
06/04/2021,2588,106,196,243
07/04/2021,2486,105,192,225
08/04/2021,2382,99,174,207
