date,hospitalCases
23/03/2021,5122
22/03/2021,5408
21/03/2021,5426
20/03/2021,5546
19/03/2021,5860
18/03/2021,6133
17/03/2021,6570
16/03/2021,6833
15/03/2021,7195
14/03/2021,7306
13/03/2021,7374
12/03/2021,7719
11/03/2021,8056
10/03/2021,8431
09/03/2021,9006
08/03/2021,9471
07/03/2021,9456
06/03/2021,9707
05/03/2021,10308
04/03/2021,10932
03/03/2021,11522
02/03/2021,12140
01/03/2021,12896
28/02/2021,12789
27/02/2021,13271
26/02/2021,14079
25/02/2021,14851
24/02/2021,15536
23/02/2021,16117
22/02/2021,16857
21/02/2021,16857
20/02/2021,17042
19/02/2021,17860
18/02/2021,18523
17/02/2021,19449
16/02/2021,20215
15/02/2021,20995
14/02/2021,21055
13/02/2021,20971
12/02/2021,22325
11/02/2021,23412
10/02/2021,24417
09/02/2021,25688
08/02/2021,26743
07/02/2021,26801
06/02/2021,26914
05/02/2021,28382
04/02/2021,29414
03/02/2021,30606
02/02/2021,31768
01/02/2021,32962
31/01/2021,32587
30/01/2021,33015
29/01/2021,33848
28/01/2021,34908
27/01/2021,35511
26/01/2021,37097
25/01/2021,37753
24/01/2021,37726
23/01/2021,37393
22/01/2021,38253
21/01/2021,38055
20/01/2021,38735
19/01/2021,38840
18/01/2021,39249
17/01/2021,38163
16/01/2021,37708
15/01/2021,38126
14/01/2021,37687
13/01/2021,37484
12/01/2021,36978
11/01/2021,36748
10/01/2021,35387
09/01/2021,34028
08/01/2021,33774
07/01/2021,32578
06/01/2021,31941
05/01/2021,30681
04/01/2021,30770
03/01/2021,29027
02/01/2021,27555
01/01/2021,26383
31/12/2020,26572
30/12/2020,26545
29/12/2020,25545
28/12/2020,24046
27/12/2020,22762
26/12/2020,21728
25/12/2020,20916
24/12/2020,21575
23/12/2020,21220
22/12/2020,21485
21/12/2020,21127
20/12/2020,19999
19/12/2020,19460
18/12/2020,19113
17/12/2020,18966
16/12/2020,18668
15/12/2020,18214
14/12/2020,18244
13/12/2020,17535
12/12/2020,16906
11/12/2020,16882
10/12/2020,16721
09/12/2020,16329
08/12/2020,16474
07/12/2020,16412
06/12/2020,15959
05/12/2020,15687
04/12/2020,15726
03/12/2020,15657
02/12/2020,15975
01/12/2020,16311
30/11/2020,16564
29/11/2020,16312
28/11/2020,15985
27/11/2020,16571
26/11/2020,16762
25/11/2020,17132
24/11/2020,17423
23/11/2020,17680
22/11/2020,17264
21/11/2020,17063
20/11/2020,17184
19/11/2020,17457
18/11/2020,17483
17/11/2020,17434
16/11/2020,17309
15/11/2020,16860
14/11/2020,16295
13/11/2020,16231
12/11/2020,15875
11/11/2020,15662
10/11/2020,14961
09/11/2020,15138
08/11/2020,14544
07/11/2020,14312
06/11/2020,13956
05/11/2020,13793
04/11/2020,13815
03/11/2020,13746
02/11/2020,13102
01/11/2020,12217
31/10/2020,12302
30/10/2020,11785
29/10/2020,11580
28/10/2020,11431
27/10/2020,10935
26/10/2020,10106
25/10/2020,9784
24/10/2020,9260
23/10/2020,8886
22/10/2020,8310
21/10/2020,8132
20/10/2020,7852
19/10/2020,7333
18/10/2020,6829
17/10/2020,6545
16/10/2020,6296
15/10/2020,5933
14/10/2020,5598
13/10/2020,5293
12/10/2020,4959
11/10/2020,4669
10/10/2020,4357
09/10/2020,4169
08/10/2020,4083
07/10/2020,3892
06/10/2020,3641
05/10/2020,3369
04/10/2020,3055
03/10/2020,2866
02/10/2020,2720
01/10/2020,2590
